month,crime_category,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,previous_year_reg,previous_year_det,,
2025-02,Other I.P.C.,2414,1662,2700,1920,5114,3739,5702,4365,,
2025-01,Murder,9,8,6,6,9,8,9,8,,
2025-01,Att.to.C.Murder,24,21,19,18,24,21,27,27,,
2025-01,Dacoity,1,1,0,0,1,1,2,2,,
2025-01,Prep.for Dacoity,1,1,0,0,1,1,2,2,,
2025-01,Robbery,34,30,26,22,34,30,50,39,,
2025-01,Robbery Chain Snatching,16,9,6,2,16,9,10,6,,
2025-01,Att.to.C.Robbery,4,3,0,0,4,3,1,1,,
2025-01,Extortion,25,15,18,14,25,15,15,9,,
2025-01,H.B.T.Day,19,6,19,10,19,6,22,11,,
2025-01,H.B.T.Night.,86,46,87,34,86,46,72,37,,
2025-01,Thefts.,494,144,460,114,494,144,801,207,,
2025-01,M.V.Thefts.,182,57,203,56,182,57,191,51,,
2025-01,Snatching,20,7,14,3,20,7,0,0,,
2025-01,Hurt,336,276,359,292,336,276,340,285,,
2025-01,Riots.,24,20,24,18,24,20,28,23,,
2025-01,Rape,82,61,75,49,82,61,60,47,,
2025-01,Molestation,231,184,180,145,231,184,184,152,,
2025-01,Other I.P.C.,2707,1921,2876,2192,2707,1921,2991,2289,,
2024-12,Murder,6,6,13,11,107,103,123,118,,
2024-12,Att.to.C.Murder,19,18,16,14,303,298,292,290,,
2024-12,Dacoity,0,0,0,0,16,16,25,24,,
2024-12,Prep.for Dacoity,0,0,1,1,10,10,23,23,,
2024-12,Robbery,26,22,21,15,474,455,642,628,,
2024-12,Robbery Chain Snatching,6,2,7,5,116,104,116,111,,
2024-12,Att.to.C.Robbery,0,0,1,1,19,19,20,17,,
2024-12,Extortion,18,14,12,7,199,177,258,207,,
2024-12,H.B.T.Day,19,10,12,4,237,139,228,151,,
2024-12,H.B.T.Night.,87,34,70,20,1070,639,1073,757,,
2024-12,Thefts.,460,114,377,91,8262,2741,6689,2846,,
2024-12,M.V.Thefts.,203,56,208,45,2589,1450,2671,1564,,
2024-12,Snatching,14,3,12,1,117,69,0,0,,
2024-12,Hurt,359,292,325,248,4362,4180,4441,4306,,
2024-12,Riots.,24,18,34,23,323,309,292,285,,
2024-12,Rape,75,49,82,57,1051,983,973,933,,
2024-12,Molestation,180,145,153,121,2397,2268,2163,2055,,
2024-12,Other I.P.C.,2876,2192,1741,1144,31066,24864,25838,20674,,
2024-11,Murder,13,11,9,8,101,96,113,109,,
2024-11,Att.to.C.Murder,16,14,26,23,283,278,275,268,,
2024-11,Dacoity,0,0,1,0,15,15,23,22,,
2024-11,Prep.for Dacoity,1,1,1,1,10,10,23,23,,
2024-11,Robbery,21,15,26,23,448,431,586,574,,
2024-11,Robbery Chain Snatching,7,5,7,7,110,99,112,108,,
2024-11,Att.to.C.Robbery,1,1,1,1,19,19,16,16,,
2024-11,Extortion,12,7,17,12,182,154,229,177,,
2024-11,H.B.T.Day,12,4,22,6,219,126,207,133,,
2024-11,H.B.T.Night.,70,20,86,30,982,576,992,683,,
2024-11,Thefts.,377,91,590,139,7808,2533,6133,2482,,
2024-11,M.V.Thefts.,208,45,240,52,2386,1269,2445,1384,,
2024-11,Snatching,12,1,23,12,100,55,0,0,,
2024-11,Hurt,325,248,400,303,4002,3787,4052,3884,,
2024-11,Riots.,34,23,29,25,299,281,271,260,,
2024-11,Rape,82,57,89,69,958,889,878,847,,
2024-11,Molestation,153,121,227,170,2218,2083,1968,1835,,
2024-11,Other I.P.C.,1741,1144,2821,1955,28203,22114,22246,16920,,
2024-10,Murder,9,8,5,4,88,85,105,100,,
2024-10,Att.to.C.Murder,26,23,14,13,265,260,234,230,,
2024-10,Dacoity,1,0,5,5,20,19,21,19,,
2024-10,Prep.for Dacoity,1,1,1,1,9,9,23,23,,
2024-10,Robbery,26,23,34,33,423,412,542,532,,
2024-10,Robbery Chain Snatching,7,7,11,9,103,94,105,96,,
2024-10,Att.to.C.Robbery,1,1,1,1,17,17,13,13,,
2024-10,Extortion,17,12,8,5,169,144,211,162,,
2024-10,H.B.T.Day,22,6,19,2,207,118,193,115,,
2024-10,H.B.T.Night.,86,30,84,25,910,527,905,623,,
2024-10,Thefts.,590,139,587,141,7438,2395,5473,2219,,
2024-10,M.V.Thefts.,240,52,183,44,2177,1152,2215,1247,,
